 ,Label,Area,Mean
453,109_15.tif_C1:Nucleus-C1,1.301,3000.408
454,109_15.tif_C1:Intersection-C1,0.586,3210.953
455,109_16.tif_C2:Nucleus-C2,1.475,2534.851
456,109_16.tif_C2:Intersection-C2,0.623,2720.868
457,109_17.tif_C2:Nucleus-C2,1.704,2464.005
458,109_17.tif_C2:Intersection-C2,0.751,2705.354
459,109_17.tif_C1:Nucleus-C1,1.420,2710.581
460,109_17.tif_C1:Intersection-C1,0.779,3095.082
461,109_18.tif_C2:Nucleus-C2,1.630,2453.938
462,109_18.tif_C2:Intersection-C2,0.614,2634.687
463,109_18.tif_C1:Nucleus-C1,1.383,2811.483
464,109_18.tif_C1:Intersection-C1,0.550,3174.650
465,109_19.tif_C2:Nucleus-C2,1.658,2452.713
466,109_19.tif_C2:Intersection-C2,0.568,2810.000
467,109_19.tif_C1:Nucleus-C1,1.520,2950.325
468,109_19.tif_C1:Intersection-C1,0.568,3329.903
469,109_20.tif_C2:Nucleus-C2,1.575,2291.448
470,109_20.tif_C2:Intersection-C2,0.632,2481.029
471,109_20.tif_C1:Nucleus-C1,1.410,2795.435
