 ,Label,Area,Mean
420,14_10.tif_C1:Intersection-C1,0.394,1846.140
421,14_11.tif_C2:Nucleus-C2,3.114,1785.818
422,14_11.tif_C2:Intersection-C2,0.632,1634.522
423,14_11.tif_C1:Nucleus-C1,3.041,2081.151
424,14_11.tif_C1:Intersection-C1,0.247,1920.926
425,14_12.tif_C2:Nucleus-C2,3.270,1799.289
426,14_12.tif_C2:Intersection-C2,0.751,1713.841
427,14_12.tif_C1:Nucleus-C1,3.160,2060.414
428,14_12.tif_C1:Intersection-C1,0.376,1873.927
429,14_13.tif_C2:Nucleus-C2,3.581,1739.836
430,14_13.tif_C2:Intersection-C2,0.724,1770.848
431,14_13.tif_C1:Nucleus-C1,3.032,2024.326
432,14_13.tif_C1:Intersection-C1,0.485,1773.792
433,14_14.tif_C2:Nucleus-C2,3.224,1766.841
434,14_14.tif_C2:Intersection-C2,0.550,1733.250
435,14_14.tif_C1:Nucleus-C1,2.986,2114.448
436,14_14.tif_C1:Intersection-C1,0.366,1784.225
437,14_15.tif_C2:Nucleus-C2,3.123,1776.610
438,14_15.tif_C2:Intersection-C2,0.742,1782.160
439,14_15.tif_C1:Nucleus-C1,2.977,2094.923
440,14_15.tif_C1:Intersection-C1,0.559,1901.131
441,14_16.tif_C2:Nucleus-C2,3.114,1752.874
442,14_16.tif_C2:Intersection-C2,0.788,1736.244
443,14_16.tif_C1:Nucleus-C1,2.995,2079.407
444,14_16.tif_C1:Intersection-C1,0.467,1916.863
445,14_17.tif_C2:Nucleus-C2,3.334,1655.283
446,14_17.tif_C2:Intersection-C2,0.833,1679.736
447,14_17.tif_C1:Nucleus-C1,3.132,1945.360
448,14_17.tif_C1:Intersection-C1,0.476,1999.288
449,14_18.tif_C2:Nucleus-C2,3.178,1716.914
450,14_18.tif_C2:Intersection-C2,0.870,1725.832
451,14_18.tif_C1:Nucleus-C1,3.041,1982.048
452,14_18.tif_C1:Intersection-C1,0.495,1927.500
453,14_19.tif_C2:Nucleus-C2,3.334,1675.918
454,14_19.tif_C2:Intersection-C2,0.779,1763.012
455,14_19.tif_C1:Nucleus-C1,3.022,1988.142
456,14_19.tif_C1:Intersection-C1,0.495,1847.333
457,14_20.tif_C2:Nucleus-C2,3.737,1588.039
458,14_20.tif_C2:Intersection-C2,0.998,1709.000
459,14_20.tif_C1:Nucleus-C1,3.105,1958.962
460,14_20.tif_C1:Intersection-C1,0.623,1947.162
461,15_00.tif_C2:Nucleus-C2,3.132,1681.611
462,15_00.tif_C2:Intersection-C2,0.495,1615.519
463,15_00.tif_C1:Nucleus-C1,2.977,1685.966
464,15_00.tif_C1:Intersection-C1,0.385,1447.476
465,15_01.tif_C2:Nucleus-C2,3.462,1570.312
466,15_01.tif_C2:Intersection-C2,0.696,1577.868
467,15_01.tif_C1:Nucleus-C1,3.352,1611.281
468,15_01.tif_C1:Intersection-C1,0.458,1525.480
469,15_02.tif_C2:Nucleus-C2,3.059,1618.069
470,15_02.tif_C2:Intersection-C2,0.559,1514.066
471,15_02.tif_C1:Nucleus-C1,2.913,1623.186
